Type,Title,Issuance Date,Cancellation Date,Cause,Count,Monitoring Station,Location Name,Statewide,Island,Island Wide,County,Advisement,Status
Brown Water Advisory,"Brown Water Advisory, Island of O‘ahu",7/19/2023 8:17:59 PM,7/25/2023 7:26:47 PM,Heavy rain,,,,No,O‘ahu,Yes,Honolulu,"A Brown Water Advisory has been issued for the Island of O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:

https://eha-cloud.doh.hawaii.gov/cwb#!/event/1674/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Oneawa Beach, O‘ahu",7/11/2023 8:00:23 PM,7/19/2023 8:17:02 PM,Heavy rain,,,Oneawa Beach,No,O‘ahu,No,Honolulu,"Updated: 7/18/2023.

A Brown Water Advisory has been issued at Oneawa Beach on O‘ahu.

Heavy rain and surf has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:

https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1672/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Waimea Bay, O‘ahu",7/6/2023 1:46:17 AM,7/10/2023 8:28:39 PM,River flowing,,,Waimea Bay,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Waimea Bay on O‘ahu.

River flowing has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:

https://eha-cloud.doh.hawaii.gov/cwb#!/event/1671/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Koloa Landing, Kaua‘i",6/29/2023 9:18:11 PM,7/5/2023 9:55:59 PM,Heavy rain,,,Koloa Landing,No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued at Koloa Landing on Kaua‘i.

Heavy rain has resulted in runoff and debris entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see:
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1668/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Pounders to Kokololio, O‘ahu",6/23/2023 1:14:44 AM,6/29/2023 8:31:14 PM,Heavy rain,,,Pounders to Kokololio,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Pounders to Kokololio on O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.",Closed
Brown Water Advisory,"Brown Water Advisory at Wailua Bay, Kaua‘i",5/30/2023 10:25:58 PM,6/6/2023 9:01:43 PM,Heavy rain,,,Wailua Bay,No,Kaua‘i,No,Kauai,"Updated: 6/2/2023

A Brown Water Advisory has been issued at Wailua Bay on Kaua‘i.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see: 
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1663/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Koloa Landing, Kaua‘i",5/23/2023 8:41:22 PM,6/5/2023 10:14:50 PM,Heavy rain,,,Koloa Landing,No,Kaua‘i,No,Kauai,"Updated: 6/2/2023

A Brown Water Advisory has been issued at Koloa Landing on Kaua‘i.

Heavy rain has resulted in runoff and debris entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see: 
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1660/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Oneawa Beach, O‘ahu",5/23/2023 8:28:33 PM,5/31/2023 2:01:25 AM,Heavy rain/stream flow,,,Oneawa Beach,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Oneawa Beach on O‘ahu.

Heavy rain/stream flow has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:

https://eha-cloud.doh.hawaii.gov/cwb#!/event/1661/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Waimea Bay, O‘ahu",5/22/2023 9:05:35 PM,6/19/2023 9:25:41 PM,River flowing,,,Waimea Bay,No,O‘ahu,No,Honolulu,"Updated: 6/14/2023

A Brown Water Advisory has been issued at Waimea Bay on O‘ahu.

River flow has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:

https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1659/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Puako Bay to Anaeho'omalu Bay, Hawai‘i",5/20/2023 2:28:44 AM,5/24/2023 10:09:50 PM,Flash flooding,,,Puako Bay to Anaeho'omalu Bay,No,Hawai‘i,No,Hawaii,"A Brown Water Advisory has been issued at Puako Bay to Anaeho'omalu Bay on Hawai‘i.

Flash flooding has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.",Closed
Brown Water Advisory,"Brown Water Advisory at Puako Bay to Kaiopae Point, Hawai‘i",5/20/2023 2:28:27 AM,6/28/2023 7:53:27 PM,Flash flooding,,,Puako Bay to Kaiopae Point,No,Hawai‘i,No,Hawaii,"Update: 06/22/2023

A Brown Water Advisory has been issued at Puako Bay to Kaiopae point on Hawai‘i Island.

Flash flooding has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information see:
https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1657/details/view",Closed
Brown Water Advisory,"Brown Water Advisory, Island of Kaua‘i",5/19/2023 5:08:10 PM,5/22/2023 9:51:17 PM,Heavy rain,,,,No,Kaua‘i,Yes,Kauai,"A Brown Water Advisory has been issued for the Island of Kaua‘i.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see: 
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1656/details/view",Closed
Brown Water Advisory,"Brown Water Advisory from Hale'iwa to Sunset Beach, O‘ahu",5/12/2023 2:17:25 AM,5/15/2023 8:42:50 PM,Recent rain,,,Hale'iwa to Sunset Beach,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued from Hale'iwa to Sunset Beach on O‘ahu.

Recent rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1655/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Castles Beach, O‘ahu",5/10/2023 2:34:34 AM,5/16/2023 8:13:10 PM,Stream flow,,,Castles Beach,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Castles Beach on O‘ahu.

Stream flow has resulted in runoff entering into coastal waters. The public is advised to stay out of flood waters and runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1654/details/view",Closed
Brown Water Advisory,Brown Water Advisory for the east facing shores (Kealia Beach to Kalapaki Beach) on Kaua‘i,5/3/2023 10:58:24 PM,5/8/2023 10:05:13 PM,Heavy rain,,,East facing shores (Kealia Beach to Kalapaki Beach),No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued for the east facing shores (Kealia Beach to Kalapaki Beach) on Kaua‘i.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see:
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1653/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Waimea Bay, O‘ahu",5/2/2023 1:04:38 AM,5/15/2023 8:43:17 PM,Stream Flow,,,Waimea Bay,No,O‘ahu,No,Honolulu,"Updated: 05/08/2023.

A Brown Water Advisory has been issued at Waimea Bay on O‘ahu.

Nearby stream flow has resulted in runoff and debris entering into coastal waters. The public is advised to stay out of runoff waters due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns. 

For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1652/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Kailua Beach, O‘ahu",4/29/2023 12:16:33 AM,5/2/2023 7:34:11 PM,Nearby stream flow,,,Kailua Beach,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Kailua Beach on O‘ahu.

Nearby stream flow has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.",Closed
Brown Water Advisory,"Brown Water Advisory at Wailua Bay, Kaua‘i",4/25/2023 9:50:12 PM,5/1/2023 11:42:31 PM,Heavy rain,,,Wailua Bay,No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued at Wailua Bay on Kaua‘i.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see:
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1648/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Ala Moana Beach Park and Magic Island, O‘ahu",4/24/2023 8:37:32 PM,4/29/2023 12:10:45 AM,Recent rain,,,Ala Moana Beach Park and Magic Island,No,O‘ahu,No,Honolulu,"The Island Wide Brown Water Advisory for  O‘ahu has been canceled; however, a Brown Water Advisory has been issued at Ala Moana Beach Park and Magic Island on O‘ahu. The Brown Water Advisory at Waimea Bay,  O‘ahu also remains in effect.

Recent rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, see: https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1647/details/view",Closed
Brown Water Advisory,"Brown Water Advisory, Island of O‘ahu",4/19/2023 8:11:32 PM,4/24/2023 9:37:17 PM,Heavy rain,,,,No,O‘ahu,Yes,Honolulu,"A Brown Water Advisory has been issued for the Island of O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1644/details/view",Closed
Brown Water Advisory,Brown Water Advisory for the east facing shores (Kalapaki Beach Park to Wailua Beach) on Kaua‘i,4/19/2023 7:26:30 PM,4/24/2023 9:36:39 PM,Heavy rain,,,East facing shores (Kalapaki Beach Park to Wailua Beach),No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued for the east facing shores (Kalapaki Beach Park to Wailua Beach) on Kaua‘i.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see:
https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1643/details/view",Closed
Brown Water Advisory,Brown Water Advisory for the south facing shores (Kukui'ula Bay to Keoniloa Bay) on Kaua‘i,4/19/2023 7:26:10 PM,4/24/2023 9:36:24 PM,Heavy rain,,,South facing shores (Kukui'ula Bay to Keoniloa Bay),No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued for the south facing shores (Kukui'ula Bay to Keoniloa Bay) on Kaua‘i. 

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see:
https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1642/details/view",Closed
Brown Water Advisory,Brown Water Advisory for the west facing shores (MacArthur Beach Park to Salt Pond Beach Park) on Kaua‘i,4/19/2023 7:25:48 PM,4/24/2023 9:36:07 PM,Heavy rain,,,West facing shores (MacArthur Beach Park to Salt Pond Beach Park),No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued for the west facing shores (MacArthur Beach Park to Salt Pond Beach Park) on Kaua‘i

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see:
https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1641/details/view",Closed
Brown Water Advisory,"Brown Water Advisory, Island of Maui",4/19/2023 6:05:34 PM,4/24/2023 8:12:41 PM,Heavy rains,,,,No,Maui,Yes,Maui,"A Brown Water Advisory has been issued for the Island of Maui.

Heavy rains has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns. Please click here to see the advisory https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1640/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Waimea Bay, O‘ahu",4/13/2023 5:25:12 PM,4/26/2023 1:08:49 AM,River flowing,,,Waimea Bay,No,O‘ahu,No,Honolulu,"Updated 4/24/23

A Brown Water Advisory has been issued at Waimea Bay on O‘ahu.

River flowing has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1639/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at South Shore, O‘ahu",4/3/2023 10:19:37 PM,4/11/2023 10:13:44 PM,Heavy rain,,,South Shore,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at South Shore on O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1637/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at East Shore, O‘ahu",4/3/2023 10:19:23 PM,4/11/2023 11:56:33 PM,Heavy rain,,,East Shore,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at East Shore on O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information please see https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1636/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at North Shore, O‘ahu",4/3/2023 10:19:03 PM,4/12/2023 12:14:30 AM,Heavy rain,,,North Shore,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at North Shore on O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more details please see https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1635/details/view",Closed
Brown Water Advisory,"Brown Water Advisory, Island of Kaua‘i",3/29/2023 10:53:49 PM,4/13/2023 5:00:48 PM,Heavy rain,,,,No,Kaua‘i,Yes,Kauai,"A Brown Water Advisory has been issued for the Island of Kaua‘i.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.",Closed
Brown Water Advisory,"Brown Water Advisory from Waimanalo to Sandy Beach, O‘ahu",3/29/2023 5:34:53 PM,4/3/2023 10:20:16 PM,Heavy Rain,,,Waimanalo to Sandy Beach,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued from Waimanalo to Sandy Beach on O‘ahu.

Heavy Rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more details, see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1633/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Sunset Beach, O‘ahu",3/23/2023 3:59:13 AM,3/28/2023 9:49:44 PM,Stream flowing,,,Sunset Beach,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Sunset Beach on O‘ahu.

Stream flowing has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more details, see https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1632/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Salt Pond Beach Park, Kaua‘i",3/21/2023 10:12:31 PM,3/23/2023 6:32:30 PM,Heavy rain,,,Salt Pond Beach Park,No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued at Salt Pond Beach Park on Kaua‘i.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see:
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1630/details/view",Closed
Brown Water Advisory,Brown Water Advisory for the south facing shores (Kukui'ula Bay to Keoniloa Bay) on Kaua‘i,3/21/2023 10:12:18 PM,3/23/2023 6:28:22 PM,Heavy rain,,,South facing shores (Kukui'ula Bay to Keoniloa Bay),No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued for the south facing shores (Kukui'ula Bay to Keoniloa Bay) on Kaua‘i

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see:
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1629/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Waimea Bay, O‘ahu",3/16/2023 2:09:32 AM,4/3/2023 10:20:00 PM,River flowing,,,Waimea Bay,No,O‘ahu,No,Honolulu,"Updated: 3/28/23

A Brown Water Advisory has been issued at Waimea Bay on O‘ahu.

The river flowing has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:

https://eha-cloud.doh.hawaii.gov/cwb#!/event/1628/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Manners to Kaena Point, O‘ahu",3/14/2023 1:43:26 AM,3/15/2023 7:21:18 PM,Heavy rain,,,Manners to Kaena Point,No,O‘ahu,No,Honolulu,"Updated: 3/14/23

The West Shore Brown Water Advisory for Oahu has been cancelled, but a Brown Water Advisory from Manners to Kaena Point remains in effect.

A Brown Water Advisory has been issued at Manners to Kaena Point on O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:

https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1627/details/edit",Closed
Brown Water Advisory,Brown Water Advisory at Waialea Bay to Kapa'a Beach Park,3/9/2023 1:47:57 AM,3/22/2023 7:47:11 PM,Strong winds and high surf.,,,Waialea Bay to Kapa'a Beach Park,No,Hawai‘i,No,Hawaii,"Updated: 3/14/2023

A Brown Water Advisory has been issued at Waialea Bay to Kapa'a Beach Park on Hawai‘i island.

Strong winds and high surf has resulted in coastal waters reaching into foliage and other areas above the normal high-water mark, including roadways. The public is advised to stay out of coastal waters that appear brown due to possible runoff containing pesticides and other chemicals, animal fecal matter, dead animals, pathogens, and debris that might be in the water. Not all coastal areas may be impacted by runoff, however, if the water is brown you are advised to stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1624/details/view",Closed
Brown Water Advisory,"Brown Water Advisory, Island of Maui",3/7/2023 5:28:58 PM,3/14/2023 9:53:00 PM,Heavy rain,,,,No,Maui,Yes,Maui,"A Brown Water Advisory has been issued for the Island of Maui.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.",Closed
Brown Water Advisory,"Brown Water Advisory at West Shores, O‘ahu",3/7/2023 1:41:48 AM,3/14/2023 1:43:52 AM,Heavy rain,,,West Shores,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at West Shores on O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:

https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1618/details/view",Closed
